A,E_level_(keV),tau_(fs),tau_err_up,tau_err_down,E_g_(keV),E_g_err_(keV),I,I_err,ICC,ICC_err,multipolarity,delta,delta_err_up,delta_err_down
168,79.804,2673313.911,36067.37602,36067.37602,79.804,0.001,100,,7.04,,E2,,,
168,264.0888,164467.2347,4328.085123,4328.085123,184.285,0.001,100,,0.331,,E2,,,
168,548.747,17312.34049,721.3475204,721.3475204,284.655,0.002,100,,0.0811,,E2,,,
168,895.7947,4616.624131,1298.425537,288.5390082,74.626,0.003,0.04,0.01,8.35,0.13,M1/E2,1.42,0.04,0.05
,,,,,631.703,0.003,18.1,0.2,0.00965,0.00014,M1/E2,-4.8,0.2,0.2
,,,,,815.99,0.004,100,2,0.00518,0.00008,M1/E2,17.7,2.3,2.3
168,1094.0383,157253759.5,1009886.529,1009886.529,99.289,0.002,7.77,0.08,0.43,0.23,E1/M2,-0.06,0.05,0.05
,,,,,198.241,0.001,100,2,0.084,0.018,E1/M2,0.12,0.03,0.03
,,,,,1014.11,0.04,0.135,0.005,0.01304,0.00021,M2/E3,-0.55,0.02,0.02
,,,,,,,0.17,0.01,0.754,,,,,
,,,,,,,12.8,0.1,0.00201,0.0001,,,,
168,1193.0251,1009886.529,100988.6529,100988.6529,75.466,0.007,0.28,0.08,0.682,,E1,,,
,,,,,98.982,0.002,100,15,3.06,,E2,,,
,,,,,,,11,1.3,0.00324,0.00005,,,,
,,,,,,,53,2,0.00157,,,,,
